1,352
2,251
3,243
4,311
5,312
6,231
7,416
8,166
9,384
10,330
11,89
12,316
13,394
14,57
15,177
16,341
17,149
18,199
19,310
20,421
21,459
22,189
23,308
25,46
26,460
27,63
28,34
29,295
30,412
31,49
32,247
33,326
35,429
36,211
37,104
38,376
39,263
40,187
41,500
42,161
43,407
44,60
45,118
47,85
48,56
50,403
51,239
52,415
53,444
54,246
55,288
58,410
59,432
61,160
62,438
65,225
67,392
68,333
69,478
70,365
71,213
72,294
73,360
74,499
75,267
76,493
77,108
78,428
79,440
80,116
81,117
82,257
83,306
84,195
86,216
87,226
88,151
90,172
91,355
93,237
94,156
95,147
96,343
97,424
98,112
100,240
101,163
102,371
103,361
106,315
107,230
109,227
110,336
111,377
113,253
114,367
115,139
119,290
120,121
122,174
123,159
124,282
125,142
126,435
127,452
128,338
129,445
130,448
131,183
132,179
133,196
134,268
135,170
136,357
137,368
138,242
141,400
143,278
144,208
145,204
146,378
148,252
152,238
153,380
154,269
155,270
157,373
158,339
162,272
164,332
167,466
168,327
169,266
173,471
175,494
176,463
178,433
180,198
181,258
182,464
184,467
186,409
188,191
190,346
192,446
193,418
197,474
200,354
201,479
202,436
205,404
206,475
207,349
210,476
212,372
214,379
217,232
218,320
219,366
220,356
221,299
222,426
223,484
224,264
228,359
229,405
233,483
234,391
235,381
236,262
241,420
244,393
245,337
248,296
249,370
250,325
254,351
255,302
256,364
260,431
261,447
265,318
271,397
273,375
274,469
275,453
276,328
279,313
280,292
283,434
284,495
285,386
286,454
287,385
289,363
291,304
293,382
297,389
298,383
301,461
303,347
305,369
309,439
314,344
317,491
319,443
321,470
322,437
323,411
324,406
331,340
334,358
335,456
342,414
345,396
350,390
374,408
387,422
395,487
398,423
399,485
401,441
402,473
413,457
417,449
425,451
427,477
430,496
442,488
450,480
462,490
465,482
472,492
481,486
497,498
