1,106
2,429
4,94
6,349
7,362
8,100
9,368
10,477
11,132
12,328
13,319
14,185
15,225
16,279
17,72
18,51
19,482
20,270
21,50
22,449
23,398
24,492
25,478
26,360
27,428
28,240
29,103
30,32
31,484
33,296
34,371
35,251
36,444
37,460
38,491
39,180
40,264
41,81
42,67
43,472
44,173
45,209
46,135
47,218
48,69
49,137
52,324
54,210
55,330
56,316
57,436
58,212
59,193
61,233
62,211
63,158
64,439
65,419
66,455
70,153
71,198
73,283
74,76
75,250
77,418
78,191
79,144
80,352
82,195
85,192
86,329
87,340
88,306
89,181
90,299
91,383
92,358
93,276
95,119
96,176
97,129
98,235
99,487
101,336
102,332
104,183
105,281
107,432
109,273
110,416
111,304
112,465
113,385
114,167
115,497
116,399
117,404
118,384
121,450
122,247
124,486
125,402
127,344
130,175
131,310
133,149
134,147
136,289
138,453
139,184
140,351
141,256
142,422
143,440
145,481
146,201
148,293
150,231
151,170
152,223
154,314
155,395
156,249
157,414
159,341
160,446
161,410
162,286
163,166
164,307
165,242
168,282
172,234
174,224
177,320
178,258
179,433
182,461
186,257
187,312
188,339
189,388
190,373
194,325
196,322
197,427
200,483
202,357
204,268
205,206
207,285
208,244
213,425
214,294
215,354
216,420
217,382
219,297
220,378
222,400
226,323
229,337
230,499
237,437
238,408
239,489
241,405
243,389
245,392
246,361
248,364
252,424
253,454
254,374
255,301
259,292
260,409
261,347
262,280
263,451
265,381
266,379
267,355
271,456
272,369
274,298
275,431
277,412
278,473
284,490
287,494
288,413
290,343
291,396
295,348
300,315
302,464
303,345
305,468
308,480
309,448
311,331
313,463
317,495
318,367
321,438
327,366
334,426
338,466
342,346
350,445
353,471
356,447
363,476
365,415
370,442
372,458
375,434
376,462
377,423
380,406
386,469
387,459
390,498
391,479
394,496
397,485
401,457
403,474
407,470
411,452
417,443
421,430
435,475
467,493
488,500
